Datetime,kobuki_bat,powerbank_bat,position_x,position_y,cpu_usage,ram_usage,completed_service_name,completed_service_duration
15/11/2023 19:52:36.252251,,,0.003832555,-1.118673272,,,,
15/11/2023 19:52:36.254857,,,0.003832559,-1.11867324,,,,
15/11/2023 19:52:36.390241,,,,,,,,
15/11/2023 19:52:36.390644,,,,,,,,
15/11/2023 19:52:37.528143,,,-0.004043162,-1.115097871,,,,
15/11/2023 19:52:37.603687,,,-0.004043175,-1.115097709,,,,
15/11/2023 19:52:37.604491,,,-0.004043181,-1.11509764,,,,
15/11/2023 19:52:37.666803,,,-0.004043182,-1.115097631,,,,
15/11/2023 19:52:37.667650,,,-0.004043186,-1.115097576,,,,
15/11/2023 19:52:37.668432,,,-0.00404319,-1.115097523,,,,
15/11/2023 19:52:37.730586,,,-0.004043194,-1.115097473,,,,
15/11/2023 19:52:37.737949,,,-0.004043198,-1.115097423,,,,
15/11/2023 19:52:37.748695,,,-0.004043208,-1.115097304,,,,
15/11/2023 19:52:37.749038,,,,,,,,
15/11/2023 19:52:37.749349,,,,,,,,
15/11/2023 19:52:37.751938,,,-0.004043211,-1.115097263,,,,
15/11/2023 19:52:39.123128,,,0.01137549,-1.115518491,,,,
15/11/2023 19:52:39.138355,,,0.011375493,-1.115518487,,,,
15/11/2023 19:52:39.140089,,,,,,,,
15/11/2023 19:52:39.142206,,,0.001346385,-1.114378632,,,,
15/11/2023 19:52:39.142568,,,,,,,,
15/11/2023 19:52:39.164057,,,0.001346375,-1.114378589,,,,
15/11/2023 19:52:39.192373,,,0.00134637,-1.11437857,,,,
15/11/2023 19:52:39.212443,,,0.001346363,-1.114378542,,,,
15/11/2023 19:52:39.285620,,,0.001346356,-1.114378514,,,,
15/11/2023 19:52:39.288391,,,0.001346342,-1.114378457,,,,
15/11/2023 19:52:39.290973,,,0.001346339,-1.114378444,,,,
15/11/2023 19:52:39.293629,,,0.001346338,-1.114378439,,,,
15/11/2023 19:52:39.410311,,,,,,,,
15/11/2023 19:52:39.410699,,,,,,,,
15/11/2023 19:52:40.543212,,,0.001346275,-1.114378184,,,,
15/11/2023 19:52:40.546105,,,0.018089101,-1.113354229,,,,
15/11/2023 19:52:40.577459,,,0.018089143,-1.113354213,,,,
15/11/2023 19:52:40.640308,,,0.018089182,-1.113354198,,,,
15/11/2023 19:52:40.643167,,,0.018089222,-1.113354183,,,,
15/11/2023 19:52:40.645985,,,0.018089302,-1.113354152,,,,
15/11/2023 19:52:40.654705,,,0.018089335,-1.11335414,,,,
15/11/2023 19:52:40.664984,,,0.018089347,-1.113354135,,,,
15/11/2023 19:52:40.716645,,,0.018089377,-1.113354124,,,,
15/11/2023 19:52:40.717864,,,0.018089437,-1.113354101,,,,
15/11/2023 19:52:40.740738,,,,,,,,
15/11/2023 19:52:40.740857,,,,,,,,
15/11/2023 19:52:41.845567,,,0.007358388,-1.118635105,,,,
15/11/2023 19:52:41.905740,,,0.007358387,-1.118635105,,,,
15/11/2023 19:52:41.940885,,,0.007358382,-1.118635112,,,,
15/11/2023 19:52:41.941284,,,,,,,,
15/11/2023 19:52:41.941590,,,,,,,,
15/11/2023 19:52:41.944448,,,0.007358381,-1.118635113,,,,
15/11/2023 19:52:41.970231,,,0.007358381,-1.118635113,,,,
15/11/2023 19:52:41.982885,,,0.00735838,-1.118635114,,,,
15/11/2023 19:52:41.985492,,,0.00735838,-1.118635114,,,,
15/11/2023 19:52:41.995185,,,0.007358379,-1.118635115,,,,
15/11/2023 19:52:41.997778,,,0.007358379,-1.118635115,,,,
15/11/2023 19:52:42.137574,,,,,,,,
15/11/2023 19:52:42.137962,,,,,,,,
15/11/2023 19:52:42.381842,,,0.007358379,-1.118635116,,,,
15/11/2023 19:52:43.248178,,,0.006135931,-1.109193782,,,,
15/11/2023 19:52:43.251063,,,0.006135922,-1.109193748,,,,
15/11/2023 19:52:43.253944,,,0.006135923,-1.109193752,,,,
15/11/2023 19:52:43.282455,76.9697,30.7,,,97.1,8.18737152,,
15/11/2023 19:52:43.284614,,,0.006135923,-1.109193751,,,,
15/11/2023 19:52:43.297828,,,0.004656508,-1.114316335,,,,
15/11/2023 19:52:43.340820,,,0.004656497,-1.114316338,,,,
15/11/2023 19:52:43.343711,,,0.004656496,-1.114316338,,,,
15/11/2023 19:52:43.373437,,,0.004656493,-1.114316339,,,,
15/11/2023 19:52:43.376373,,,0.00465649,-1.11431634,,,,
15/11/2023 19:52:43.405787,,,0.004656486,-1.11431634,,,,
15/11/2023 19:52:43.431476,,,,,,,,
15/11/2023 19:52:43.431613,,,,,,,,
15/11/2023 19:52:43.522726,76.9697,30.68,,,96.7,8.18737152,,
15/11/2023 19:52:44.842679,,,0.006008995,-1.111223374,,,,
15/11/2023 19:52:44.890636,,,0.006008995,-1.111223373,,,,
15/11/2023 19:52:44.904907,,,0.006008995,-1.111223362,,,,
15/11/2023 19:52:44.964889,76.9697,30.68,,,96.8,8.18737152,,
15/11/2023 19:52:44.965732,,,0.006008995,-1.111223357,,,,
15/11/2023 19:52:44.983043,,,0.006008995,-1.111223357,,,,
15/11/2023 19:52:45.118136,,,0.005999816,-1.111308029,,,,
15/11/2023 19:52:45.118547,,,,,,,,
15/11/2023 19:52:45.118841,,,,,,,,
15/11/2023 19:52:45.121670,,,0.005999818,-1.111308009,,,,
15/11/2023 19:52:45.197182,,,,,,,,
15/11/2023 19:52:45.197537,,,,,,,,
15/11/2023 19:52:45.206832,,,0.006008996,-1.111223353,,,,
15/11/2023 19:52:45.232965,,,0.006007422,-1.111237414,,,,
15/11/2023 19:52:45.265436,,,0.005999814,-1.111308049,,,,
15/11/2023 19:52:46.173383,,,0.009084501,-1.107468279,,,,
15/11/2023 19:52:46.228012,,,0.009084506,-1.107468264,,,,
15/11/2023 19:52:46.230653,,,0.00908451,-1.107468251,,,,
15/11/2023 19:52:46.233270,,,0.009084514,-1.107468238,,,,
15/11/2023 19:52:46.235883,,,0.009084527,-1.107468203,,,,
15/11/2023 19:52:46.250463,,,0.009084537,-1.107468173,,,,
15/11/2023 19:52:46.281878,,,0.009084532,-1.107468187,,,,
15/11/2023 19:52:46.282888,,,0.007600359,-1.111798271,,,,
15/11/2023 19:52:46.283858,,,0.007600361,-1.111798267,,,,
15/11/2023 19:52:46.284787,,,0.007600364,-1.111798258,,,,
15/11/2023 19:52:46.364526,,,,,,,,
15/11/2023 19:52:46.370072,,,,,,,,
15/11/2023 19:52:46.434274,,,,,,,,
15/11/2023 19:52:46.505138,,,,,,,,
15/11/2023 19:52:46.563317,,,,,,,,
15/11/2023 19:52:46.626476,,,,,,,/IP_10_3_0_8/grab_trolley,11615
15/11/2023 19:52:46.640825,,,,,,,,
15/11/2023 19:52:46.673058,,,,,,,,
15/11/2023 19:52:46.723318,,,,,,,,
15/11/2023 19:52:46.756853,,,,,,,,
15/11/2023 19:52:46.810604,,,,,,,,
15/11/2023 19:52:46.895630,,,,,,,,
15/11/2023 19:52:46.945639,,,,,,,,
15/11/2023 19:52:47.501190,,,0.007600381,-1.111798208,,,,
15/11/2023 19:52:47.540903,,,0.007600381,-1.111798208,,,,
15/11/2023 19:52:47.557964,,,0.007600381,-1.111798208,,,,
15/11/2023 19:52:47.559711,,,,,,,,
15/11/2023 19:52:47.560084,,,,,,,,
15/11/2023 19:52:47.562686,,,0.007600381,-1.111798208,,,,
15/11/2023 19:52:47.565388,,,0.007600381,-1.111798208,,,,
15/11/2023 19:52:47.568038,,,0.007693414,-1.112757714,,,,
15/11/2023 19:52:47.570652,,,0.007693414,-1.112757714,,,,
15/11/2023 19:52:47.573255,,,0.007693415,-1.112757714,,,,
15/11/2023 19:52:47.575904,,,0.007693416,-1.112757715,,,,
15/11/2023 19:52:47.578476,,,0.007693417,-1.112757715,,,,
15/11/2023 19:52:48.120550,,,,,,,/IP_10_3_0_8/move_camera,2112
15/11/2023 19:52:48.765626,,,0.007693423,-1.112757718,,,,
15/11/2023 19:52:48.768450,,,0.007693423,-1.112757718,,,,
15/11/2023 19:52:48.824108,,,0.007729652,-1.112437629,,,,
15/11/2023 19:52:48.824245,,,,,,,,
15/11/2023 19:52:48.824326,,,,,,,,
15/11/2023 19:52:48.825002,,,0.008186046,-1.108299696,,,,
15/11/2023 19:52:48.825654,,,0.003697126,-1.108415901,,,,
15/11/2023 19:52:48.826426,,,0.004076202,-1.104956805,,,,
15/11/2023 19:52:48.827211,,,0.004493172,-1.101143755,,,,
15/11/2023 19:52:48.827959,,,0.005050625,-1.096053138,,,,
15/11/2023 19:52:48.828729,,,0.00572249,-1.089896006,,,,
15/11/2023 19:52:48.829500,,,0.006935059,-1.079061504,,,,
15/11/2023 19:52:48.886655,,,,,,,,
15/11/2023 19:52:48.926304,,,,,,,,
15/11/2023 19:52:49.108115,,,,,,,,
15/11/2023 19:52:49.113876,,,,,,,,
15/11/2023 19:52:50.111389,,,0.037783296,-0.854385102,,,,
15/11/2023 19:52:50.123855,,,0.039062232,-0.844381321,,,,
15/11/2023 19:52:50.181578,,,,,,,/IP_10_3_0_8/reverse_robot,2060
15/11/2023 19:52:50.218523,,,0.033362918,-0.871663195,,,,
15/11/2023 19:52:50.348731,,,,,,,,
15/11/2023 19:52:50.348845,,,,,,,,
15/11/2023 19:52:50.464299,,,0.034675232,-0.86197405,,,,
15/11/2023 19:52:50.689491,,,0.035962584,-0.85249802,,,,
15/11/2023 19:52:50.697558,,,0.031553071,-0.902376043,,,,
15/11/2023 19:52:50.705390,,,0.032841867,-0.892577311,,,,
15/11/2023 19:52:50.713172,,,0.034056675,-0.883270252,,,,
15/11/2023 19:52:50.890759,,,0.035319568,-0.873535058,,,,
15/11/2023 19:52:50.963948,,,0.03652507,-0.864185379,,,,
15/11/2023 19:52:52.777833,,,0.221187529,-0.342394364,,,,
15/11/2023 19:52:52.782557,,,0.227946685,-0.336779754,,,,
15/11/2023 19:52:52.797660,,,0.234282095,-0.331729959,,,,
15/11/2023 19:52:52.808196,,,0.240314846,-0.327120711,,,,
15/11/2023 19:52:52.818192,,,0.246058925,-0.323001466,,,,
15/11/2023 19:52:52.818570,,,,,,,,
15/11/2023 19:52:52.891451,,,0.254140015,-0.317386722,,,,
15/11/2023 19:52:52.892081,,,,,,,,
15/11/2023 19:52:52.969258,,,0.262161815,-0.312362244,,,,
15/11/2023 19:52:52.969832,,,,,,,,
15/11/2023 19:52:52.970190,,,,,,,,
15/11/2023 19:52:52.972813,,,0.265150589,-0.310598503,,,,
15/11/2023 19:52:52.975422,,,0.267813927,-0.309067971,,,,
15/11/2023 19:52:52.978113,,,0.270700539,-0.307444023,,,,
15/11/2023 19:52:53.752147,,,,,,,,
15/11/2023 19:52:53.756132,,,,,,,,
15/11/2023 19:52:53.799335,76.9697,31.6,,,97.8,8.18737152,,
15/11/2023 19:52:53.948766,,,,,,,,
15/11/2023 19:52:53.952272,,,,,,,,
15/11/2023 19:52:54.440520,,,0.253527529,-0.218388292,,,,
15/11/2023 19:52:54.443168,,,0.241282444,-0.217973645,,,,
