Datetime,kobuki_bat,powerbank_bat,position_x,position_y,throughput_upload,throughput_download,cpu_usage,ram_usage,completed_service_name,completed_service_duration
34:47.3,,,0.088242233,-0.219015705,,,,,,
34:47.3,,,0.088252718,-0.218879689,,,,,,
34:47.3,,,0.088270988,-0.218692034,,,,,,
34:47.5,,,,,11571.69238,,,,,
34:47.5,,,,,,42.0703125,,,,
34:47.9,,,,,,,,,,
34:48.1,,,,,,,,,/IP_10_3_0_8/move_robot,6785
34:48.3,,,,,,,,,/IP_10_3_0_8/rosping_service,4827
34:48.9,,,,,,,,,,
34:49.4,,,0.005223803,-0.355717805,,,,,,
34:49.4,,,0.005224306,-0.355706232,,,,,,
34:49.4,,,0.005224732,-0.35569637,,,,,,
34:49.4,,,0.00522537,-0.355681654,,,,,,
34:49.4,,,0.005225787,-0.355672066,,,,,,
34:49.4,,,0.005226164,-0.355663374,,,,,,
34:49.4,,,0.005226533,-0.355654853,,,,,,
34:49.4,,,0.005227586,-0.355631506,,,,,,
34:49.4,,,,,5605.171875,,,,,
34:49.4,,,,,,36.04785156,,,,
34:49.4,,,0.005227893,-0.355624411,,,,,,
34:49.4,,,0.005228338,-0.355614272,,,,,,
34:49.6,88.4848,63.76,,,,,97.3,8.18737152,,
34:49.8,,,,,7082.943359,,,,,
34:49.8,,,,,,25.47460938,,,,
34:49.9,,,,,,,,,,
34:50.3,,,,,,,,,/IP_10_3_0_8/move_camera,2165
34:50.9,,,,,,,,,,
34:51.3,,,0.003793407,-0.350500756,,,,,,
34:51.3,,,0.003793568,-0.350497433,,,,,,
34:51.3,,,0.003793732,-0.350494087,,,,,,
34:51.3,,,,,5935.464844,,,,,
34:51.3,,,,,,14.69433594,,,,
34:51.3,,,0.003793888,-0.350490885,,,,,,
34:51.3,,,0.003794048,-0.350487631,,,,,,
34:51.3,,,0.003794509,-0.35047834,,,,,,
34:51.4,,,0.003794635,-0.350475793,,,,,,
34:51.4,,,0.003794756,-0.350473372,,,,,,
34:51.4,,,0.003794815,-0.350472173,,,,,,
34:51.5,,,0.003794991,-0.350468653,,,,,,
34:51.7,,,,,5418.954102,,,,,
34:51.7,,,,,,23.52246094,,,,
34:51.9,,,,,,,,,,
34:52.3,,,,,,,,,/IP_10_3_0_8/object_detection,2062
34:52.9,,,,,,,,,,
34:53.2,,,0.00917796,-0.353558927,,,,,,
34:53.2,,,0.009178087,-0.353556136,,,,,,
34:53.2,,,0.009178222,-0.353553162,,,,,,
34:53.2,,,0.009178274,-0.353551956,,,,,,
34:53.2,,,0.009178293,-0.353551519,,,,,,
34:53.2,,,,,7542.620117,,,,,
34:53.2,,,,,,29.79882813,,,,
34:53.2,,,0.00917839,-0.353549405,,,,,,
34:53.2,,,0.009178485,-0.353547314,,,,,,
34:53.2,,,0.009178583,-0.353545178,,,,,,
34:53.2,,,0.009178665,-0.353543401,,,,,,
34:53.2,,,0.00917875,-0.353541579,,,,,,
34:53.3,88.4848,63.7,,,,,98.4,8.18737152,,
34:53.3,88.4848,63.7,,,,,100,8.18737152,,
34:53.3,,,,,7100.606445,,,,,
34:53.3,,,,,,21.88964844,,,,
34:53.9,,,,,,,,,,
34:54.5,,,,,,,,,/IP_10_3_0_8/move_camera,2112
34:54.9,,,,,,,,,,
34:55.0,,,0.00060403,-0.350060499,,,,,,
34:55.1,,,0.000604058,-0.350059459,,,,,,
34:55.3,,,,,7244.332031,,,,,
34:55.3,,,,,,41.015625,,,,
34:55.4,,,0.000604079,-0.350058728,,,,,,
34:55.4,,,0.0006041,-0.350057982,,,,,,
34:55.5,,,,,8030.578125,,,,,
34:55.5,,,,,,40.75195313,,,,
34:55.5,,,0.000604119,-0.350057309,,,,,,
34:55.5,,,0.000604137,-0.35005667,,,,,,
34:55.5,,,0.000604155,-0.350056061,,,,,,
34:55.6,,,0.000604201,-0.350054507,,,,,,
34:55.6,,,0.000604215,-0.350053979,,,,,,
34:55.7,,,0.000604055,-0.350059598,,,,,,
34:55.8,,,,,,,,,/IP_10_3_0_8/reverse_robot,1307
34:55.9,,,,,,,,,,
34:56.7,,,0.006393942,-0.248390272,,,,,,
34:56.8,,,0.006192574,-0.240299937,,,,,,
34:56.8,,,0.016473279,-0.232684474,,,,,,
34:56.8,,,0.016640275,-0.224713624,,,,,,
34:56.8,,,0.016536539,-0.216704506,,,,,,
34:56.9,,,0.016067741,-0.206391196,,,,,,
34:56.9,,,0.015149862,-0.197564358,,,,,,
34:56.9,,,0.014757167,-0.194800802,,,,,,
34:56.9,,,,,,,,,,
34:57.0,,,0.013898251,-0.189414129,,,,,,
34:57.0,,,,,6775.548828,,,,,
34:57.0,,,,,,34.0703125,,,,
34:57.0,,,0.01301411,-0.184714762,,,,,,
34:57.1,,,,,6412.066406,,,,,
34:57.1,,,,,,26.33886719,,,,
34:57.9,,,,,,,,,,
34:58.3,,,0.055502501,-0.198455964,,,,,,
34:58.3,,,0.064182905,-0.203274353,,,,,,
34:58.3,,,0.079147369,-0.210924439,,,,,,
34:58.3,,,0.100245432,-0.220447748,,,,,,
34:58.4,,,0.106250804,-0.222919442,,,,,,
34:58.4,,,0.024857536,-0.162487626,,,,,,
34:58.4,,,0.038031688,-0.168098403,,,,,,
34:58.4,,,0.052148028,-0.173756985,,,,,,
34:58.4,,,0.066558866,-0.179281098,,,,,,
34:58.4,,,0.082071105,-0.184862801,,,,,,
34:58.4,,,,,8133.842773,,,,,
34:58.4,,,,,,20.11132813,,,,
34:58.5,88.4848,63.64,,,,,97.9,8.18737152,,
34:59.0,,,,,,,,,,
34:59.9,,,,,,,,,,
35:00.0,,,0.550091859,-0.212274059,,,,,,
35:00.0,,,0.572874875,-0.220138181,,,,,,
35:00.1,,,0.662854762,-0.268750993,,,,,,
35:00.1,,,,,10381.18262,,,,,
35:00.1,,,,,,21.80566406,,,,
35:00.2,,,0.593182074,-0.228400462,,,,,,
35:00.3,,,,,6013.87793,,,,,
35:00.3,,,,,,31.16210938,,,,
35:00.3,,,0.605914678,-0.234209233,,,,,,
35:00.3,,,0.617608611,-0.240069083,,,,,,
35:00.3,,,0.628353421,-0.245937605,,,,,,
35:00.4,,,0.638253264,-0.25182136,,,,,,
35:00.7,,,0.579846704,-0.222883482,,,,,,
35:00.8,,,0.651863007,-0.260608011,,,,,,
35:00.9,,,,,,,,,,
35:01.8,,,1.013738832,-0.302148572,,,,,,
35:01.8,,,1.012231731,-0.298926362,,,,,,
35:01.8,,,1.010903966,-0.295952324,,,,,,
35:01.8,,,1.009532595,-0.292697158,,,,,,
35:01.8,,,1.008780906,-0.290788696,,,,,,
35:01.9,,,1.008672801,-0.290473213,,,,,,
35:01.9,,,1.008625569,-0.290349012,,,,,,
35:01.9,,,1.008497545,-0.289998432,,,,,,
35:01.9,,,1.00862191,-0.290324235,,,,,,
35:01.9,,,,,9578.977539,,,,,
35:01.9,,,,,,18.71679688,,,,
35:01.9,,,1.00891323,-0.291087973,,,,,,
35:01.9,,,,,,,,,,
35:02.9,,,,,8454.361328,,,,,
35:02.9,,,,,,34.21777344,,,,
35:02.9,,,,,,,,,,
35:03.8,,,0.970965019,-0.190867802,,,,,,
35:03.9,,,0.970436084,-0.188157374,,,,,,
35:03.9,,,0.969783446,-0.184761163,,,,,,
35:03.9,,,0.969499961,-0.18317365,,,,,,
35:03.9,,,,,,,,,,
35:04.2,,,,,,29.03027344,,,,
35:04.2,,,,,8394.619141,,,,,
35:04.6,88.4848,63.89,,,,,96.2,8.18737152,,
35:04.6,,,1.013097162,-0.318896145,,,,,,
35:04.6,,,,,7555.019531,,,,,
35:04.6,,,,,,41.76757813,,,,
35:04.6,88.4848,63.89,,,,,100,8.18737152,,
35:04.7,,,1.013062613,-0.318622922,,,,,,
35:04.7,,,1.013061132,-0.318610865,,,,,,
35:04.7,,,1.013059649,-0.318598777,,,,,,
35:04.7,,,1.013058992,-0.318593454,,,,,,
35:04.7,,,1.013057606,-0.318582247,,,,,,
35:04.9,,,,,,,,,,
35:06.0,,,,,,,,,,
35:06.1,,,1.003547334,-0.242725864,,,,,,
35:06.1,,,1.003547075,-0.242722966,,,,,,
35:06.1,,,1.003546829,-0.242720207,,,,,,
35:06.2,,,1.00354623,-0.242713476,,,,,,
35:06.2,,,1.003546239,-0.242713583,,,,,,
35:06.3,,,,,7966.333984,,,,,
35:06.4,,,,,,15.35742188,,,,
35:06.5,,,,,7844.149414,,,,,
35:06.5,,,,,,24.79199219,,,,
35:06.8,,,1.003548682,-0.242740999,,,,,,
35:06.8,,,1.003548272,-0.242736399,,,,,,
35:06.8,,,1.003547798,-0.242731079,,,,,,
35:06.8,,,1.003547741,-0.242730431,,,,,,
35:06.9,,,1.003547619,-0.242729066,,,,,,
35:06.9,,,,,,,,,,
35:07.4,,,,,,,,,/IP_10_3_0_8/move_robot,11610
35:07.5,,,,,,,,,/IP_10_3_0_8/rosping_service,2764
35:07.9,,,,,,,,,,
35:08.4,,,0.998431503,-0.274815047,,,,,,
35:08.4,,,0.99843146,-0.274814592,,,,,,
35:08.4,,,0.998431298,-0.274812851,,,,,,
35:08.4,,,1.001158013,-0.278317745,,,,,,
35:08.4,,,1.001157858,-0.278315963,,,,,,
35:08.4,,,1.001157775,-0.278315006,,,,,,
35:08.4,,,1.001157718,-0.278314361,,,,,,
35:08.4,,,1.001157662,-0.27831372,,,,,,
35:08.5,,,1.001157575,-0.278312716,,,,,,
35:08.5,,,,,6443.543945,,,,,
35:08.5,,,,,,14.95898438,,,,
35:08.5,,,1.001157559,-0.278312537,,,,,,
35:08.6,,,,,6736.966797,,,,,
35:08.6,,,,,,29.16503906,,,,
35:08.7,88.4848,63.14,,,,,97.4,8.18737152,,
35:09.1,,,,,,,,,,
35:09.7,,,,,,,,,/IP_10_3_0_8/move_camera,2264
35:10.4,,,,,,,,,,
35:10.9,,,,,,,,,,
35:11.2,,,,,6811.003906,,,,,
35:11.2,,,,,,32.13183594,,,,
35:11.2,,,,,4857.099609,,,,,
35:11.2,,,,,,55.18261719,,,,
35:11.6,,,0.992502832,-0.273240967,,,,,,
35:11.6,,,,,,,,,/IP_10_3_0_8/object_detection,1358
35:11.6,,,,,8829.317383,,,,,
35:11.7,,,,,,27.23730469,,,,
35:11.7,,,0.992502808,-0.27324084,,,,,,
